#
# This is an automatically generated geo file
# Script: create_regular_geofile.py
#
# Draws all available cell shapes
#
padnumber	xposition	yposition	type	optional
278	+5.89	-0.65	11	SIZE:0.55,ROTATE:-120
279	-5.61	-1.13	11	SIZE:0.55,ROTATE:120
280	-5.08	-1.13	0	SIZE:0.55,ROTATE:0
281	-4.54	-1.13	0	SIZE:0.55,ROTATE:0
282 	-4.01	-1.13	0	SIZE:0.55,ROTATE:0
283	-3.47	-1.13	0	SIZE:0.55,ROTATE:0
284	-2.94	-1.13	0	SIZE:0.55,ROTATE:0
285	-2.40	-1.13	0	SIZE:0.55,ROTATE:0
286	-1.87	-1.13	0	SIZE:0.55,ROTATE:0
287	-1.87	-1.13	0	SIZE:0.55,ROTATE:0
288	-1.33	-1.13	0	SIZE:0.55,ROTATE:0
289	-0.79	-1.13	0	SIZE:0.55,ROTATE:0
290  	-0.26	-1.13	0	SIZE:0.55,ROTATE:0
291	+0.28	-1.13	0	SIZE:0.55,ROTATE:0
292	+0.81	-1.13	0	SIZE:0.55,ROTATE:0
293	+1.35	-1.13	0	SIZE:0.55,ROTATE:0
294	+1.88	-1.13	0	SIZE:0.55,ROTATE:0
295	+1.88	-1.13	0	SIZE:0.55,ROTATE:0
296	+2.42	-1.13	0	SIZE:0.55,ROTATE:0
297	+2.95	-1.13	0	SIZE:0.55,ROTATE:0
298	+3.49	-1.13	0	SIZE:0.55,ROTATE:0
299	+4.02	-1.13	0	SIZE:0.55,ROTATE:0
300	+4.56	-1.13	0	SIZE:0.55,ROTATE:0
301	+5.09	-1.13	0	SIZE:0.55,ROTATE:0
302	+5.63	-1.13	11	SIZE:0.55,ROTATE:-120
303	-5.34	-1.60	44	SIZE:0.55,ROTATE:120,TEXT_Y_OFFSET:+0.08,TEXT_X_OFFSET:+0.1
304	-4.81	-1.60	0	SIZE:0.55,ROTATE:0
305	-4.27	-1.60	4	SIZE:0.55,ROTATE:0
306	-4.27	-1.60	14	SIZE:0.55,ROTATE:0
307	-3.74	-1.60	0	SIZE:0.55,ROTATE:0
308	-3.20	-1.60	0	SIZE:0.55,ROTATE:0
309	-2.67	-1.60	0	SIZE:0.55,ROTATE:0
310	-2.13	-1.60	0	SIZE:0.55,ROTATE:0
311	-1.60	-1.60	0	SIZE:0.55,ROTATE:0
312	-1.06	-1.60	0	SIZE:0.55,ROTATE:0
313	-0.53	-1.60	0	SIZE:0.55,ROTATE:0
314	+0.01	-1.60	0	SIZE:0.55,ROTATE:0
315	+0.54	-1.60	0	SIZE:0.55,ROTATE:0
316	+1.08	-1.60	0	SIZE:0.55,ROTATE:0
317	+1.61	-1.60	0	SIZE:0.55,ROTATE:0
318	+2.15	-1.60	0	SIZE:0.55,ROTATE:0
319 	+2.68	-1.60	0	SIZE:0.55,ROTATE:0
320	+3.22	-1.60	0	SIZE:0.55,ROTATE:0
321	+3.75	-1.60	0	SIZE:0.55,ROTATE:0
322	+4.29	-1.60	0	SIZE:0.55,ROTATE:0
323 	+4.82	-1.60	0	SIZE:0.55,ROTATE:0
324	+5.36	-1.60	44	SIZE:0.55,ROTATE:-120,TEXT_Y_OFFSET:+0.00,TEXT_X_OFFSET:-0.1
325	-5.08	-2.08	11	SIZE:0.55,ROTATE:120
326	-4.54	-2.08	0	SIZE:0.55,ROTATE:0
327	-4.01	-2.08	0	SIZE:0.55,ROTATE:0
328	-3.47	-2.08	0	SIZE:0.55,ROTATE:0
329	-2.94	-2.08	0	SIZE:0.55,ROTATE:0
330	-2.40	-2.08	0	SIZE:0.55,ROTATE:0
331	-1.87	-2.08	0	SIZE:0.55,ROTATE:0
332	-1.87	-2.08	0	SIZE:0.55,ROTATE:0
333	-1.33	-2.08	0	SIZE:0.55,ROTATE:0
334	-0.79	-2.08	4	SIZE:0.55,ROTATE:0
335	-0.79	-2.08	14	SIZE:0.55,ROTATE:0
336	-0.26	-2.08	0	SIZE:0.55,ROTATE:0
337	+0.28	-2.08	0	SIZE:0.55,ROTATE:0
338	+0.81	-2.08	0	SIZE:0.55,ROTATE:0
339	+1.35	-2.08	0	SIZE:0.55,ROTATE:0
340	+1.88	-2.08	0	SIZE:0.55,ROTATE:0
341	+1.88	-2.08	0	SIZE:0.55,ROTATE:0
342	+2.42	-2.08	0	SIZE:0.55,ROTATE:0
343	+2.95	-2.08	0	SIZE:0.55,ROTATE:0
344	+3.49	-2.08	0	SIZE:0.55,ROTATE:0
345	+4.02	-2.08	0	SIZE:0.55,ROTATE:0
346	+4.56	-2.08	0	SIZE:0.55,ROTATE:0
347	+5.09	-2.08	11	SIZE:0.55,ROTATE:-120
348	-4.81	-2.55	11	SIZE:0.55,ROTATE:120
349	-4.27	-2.55	0	SIZE:0.55,ROTATE:0
350	-3.74	-2.55	0	SIZE:0.55,ROTATE:0
351	-3.20	-2.55	0	SIZE:0.55,ROTATE:0
352	-2.67	-2.55	0	SIZE:0.55,ROTATE:0
353	-2.13	-2.55	0	SIZE:0.55,ROTATE:0
354	-1.60	-2.55	0	SIZE:0.55,ROTATE:0
355	-1.06	-2.55	0	SIZE:0.55,ROTATE:0
356	-0.53	-2.55	0	SIZE:0.55,ROTATE:0
357	+0.01	-2.55	0	SIZE:0.55,ROTATE:0
358	+0.54	-2.55	0	SIZE:0.55,ROTATE:0
359	+1.08	-2.55	0	SIZE:0.55,ROTATE:0
360	+1.61	-2.55	0	SIZE:0.55,ROTATE:0
361	+2.15	-2.55	0	SIZE:0.55,ROTATE:0
362	+2.68	-2.55	0	SIZE:0.55,ROTATE:0
363	+3.22	-2.55	0	SIZE:0.55,ROTATE:0
364	+3.75	-2.55	0	SIZE:0.55,ROTATE:0
365	+4.29	-2.55	0	SIZE:0.55,ROTATE:0
366	+4.82	-2.55	11	SIZE:0.55,ROTATE:-120
367	-4.54	-3.03	11	SIZE:0.55,ROTATE:120
368	-4.01	-3.03	0	SIZE:0.55,ROTATE:0
369	-3.47	-3.03	0	SIZE:0.55,ROTATE:0
370	-2.94	-3.03	0	SIZE:0.55,ROTATE:0
371	-2.40	-3.03	0	SIZE:0.55,ROTATE:0
372	-1.87	-3.03	0	SIZE:0.55,ROTATE:0
373	-1.87	-3.03	0	SIZE:0.55,ROTATE:0
374	-1.33	-3.03	0	SIZE:0.55,ROTATE:0
375	-0.79	-3.03	0	SIZE:0.55,ROTATE:0
376	-0.26	-3.03	0	SIZE:0.55,ROTATE:0
377	+0.28	-3.03	0	SIZE:0.55,ROTATE:0
378	+0.81	-3.03	0	SIZE:0.55,ROTATE:0
379	+1.35	-3.03	0	SIZE:0.55,ROTATE:0
380	+1.88	-3.03	0	SIZE:0.55,ROTATE:0
381	+1.88	-3.03	0	SIZE:0.55,ROTATE:0
382	+2.42	-3.03	0	SIZE:0.55,ROTATE:0
383	+2.95	-3.03	0	SIZE:0.55,ROTATE:0
384	+3.49	-3.03	0	SIZE:0.55,ROTATE:0
385	+3.49	-3.03	0	SIZE:0.55,ROTATE:0
386	+4.02	-3.03	0	SIZE:0.55,ROTATE:0
387	+4.56	-3.03	11	SIZE:0.55,ROTATE:-120
388	-4.27	-3.50	11	SIZE:0.55,ROTATE:120
389	-3.74	-3.50	0	SIZE:0.55,ROTATE:0
390	-3.20	-3.50	0	SIZE:0.55,ROTATE:0
391	-2.67	-3.50	0	SIZE:0.55,ROTATE:0
392	-2.13	-3.50	0	SIZE:0.55,ROTATE:0
393	-1.60	-3.50	0	SIZE:0.55,ROTATE:0
394	-1.06	-3.50	0	SIZE:0.55,ROTATE:0
395	-0.53	-3.50	0	SIZE:0.55,ROTATE:0
396	+0.01	-3.50	0	SIZE:0.55,ROTATE:0
397	+0.54	-3.50	0	SIZE:0.55,ROTATE:0
398	+1.08	-3.50	0	SIZE:0.55,ROTATE:0
399	+1.61	-3.50	0	SIZE:0.55,ROTATE:0
400	+2.15	-3.50	0	SIZE:0.55,ROTATE:0
401	+2.68	-3.50	0	SIZE:0.55,ROTATE:0
402	+3.22	-3.50	0	SIZE:0.55,ROTATE:0
403	+3.75	-3.50	0	SIZE:0.55,ROTATE:0
404	+4.29	-3.50	11	SIZE:0.55,ROTATE:-120
405	-4.01	-3.98	44	SIZE:0.55,ROTATE:120,TEXT_Y_OFFSET:+0.08,TEXT_X_OFFSET:+0.1
406	-3.47	-3.98	0	SIZE:0.55,ROTATE:0
407	-2.94	-3.98	0	SIZE:0.55,ROTATE:0
408	-2.40	-3.98	0	SIZE:0.55,ROTATE:0
409	-1.87	-3.98	0	SIZE:0.55,ROTATE:0
410	-1.87	-3.98	0	SIZE:0.55,ROTATE:0
411	-1.33	-3.98	0	SIZE:0.55,ROTATE:0
412	-0.79	-3.98	0	SIZE:0.55,ROTATE:0
413	-0.26	-3.98	0	SIZE:0.55,ROTATE:0
414	+0.28	-3.98	0	SIZE:0.55,ROTATE:0
415	+0.81	-3.98	0	SIZE:0.55,ROTATE:0
416	+1.35	-3.98	0	SIZE:0.55,ROTATE:0
417	+1.88	-3.98	0	SIZE:0.55,ROTATE:0
418	+1.88	-3.98	0	SIZE:0.55,ROTATE:0
419	+2.42	-3.98	0	SIZE:0.55,ROTATE:0
420	+2.95	-3.98	0	SIZE:0.55,ROTATE:0
421	+3.49	-3.98	0	SIZE:0.55,ROTATE:0
422	+4.02	-3.98	44	SIZE:0.55,ROTATE:-120,TEXT_Y_OFFSET:+0.00,TEXT_X_OFFSET:-0.1
423	-3.74	-4.45	11	SIZE:0.55,ROTATE:120
424	-3.20	-4.45	0	SIZE:0.55,ROTATE:0
425	-2.67	-4.45	4	SIZE:0.55,ROTATE:0
426	-2.67	-4.45	14	SIZE:0.55,ROTATE:0
427	-2.13	-4.45	0	SIZE:0.55,ROTATE:0
428	-1.60	-4.45	0	SIZE:0.55,ROTATE:0
429	-1.06	-4.45	0	SIZE:0.55,ROTATE:0
430	-0.53	-4.45	0	SIZE:0.55,ROTATE:0
431	+0.01	-4.45	0	SIZE:0.55,ROTATE:0
432	+0.54	-4.45	4	SIZE:0.55,ROTATE:0
433	+0.54	-4.45	14	SIZE:0.55,ROTATE:0
434	+1.08	-4.45	0	SIZE:0.55,ROTATE:0
435	+1.61	-4.45	0	SIZE:0.55,ROTATE:0
436	+2.15	-4.45	0	SIZE:0.55,ROTATE:0
437	+2.68	-4.45	0	SIZE:0.55,ROTATE:0
438	+3.22	-4.45	0	SIZE:0.55,ROTATE:0
439	+3.75	-4.45	11	SIZE:0.55,ROTATE:-120
440	-3.47	-4.93	11	SIZE:0.55,ROTATE:120
441	-2.94	-4.93	0	SIZE:0.55,ROTATE:0
442	-2.40	-4.93	0	SIZE:0.55,ROTATE:0
443	-1.87	-4.93	0	SIZE:0.55,ROTATE:0
444	-1.87	-4.93	0	SIZE:0.55,ROTATE:0
445	-1.33	-4.93	0	SIZE:0.55,ROTATE:0
446	-0.80	-4.93	0	SIZE:0.55,ROTATE:0
447	-0.26	-4.93	0	SIZE:0.55,ROTATE:0
448	+0.28	-4.93	0	SIZE:0.55,ROTATE:0
449	+0.81	-4.93	0	SIZE:0.55,ROTATE:0
450	+1.35	-4.93	0	SIZE:0.55,ROTATE:0
451	+1.88	-4.93	0	SIZE:0.55,ROTATE:0
452	+1.88	-4.93	0	SIZE:0.55,ROTATE:0
453	+2.42	-4.93	0	SIZE:0.55,ROTATE:0
454	+2.95	-4.93	0	SIZE:0.55,ROTATE:0
455	+3.49	-4.93	11	SIZE:0.55,ROTATE:-120
456	-3.20	-5.40	11	SIZE:0.55,ROTATE:-120,X_CROP:0.5,ROTATE:-60
457	-2.67	-5.40	42	SIZE:0.55,ROTATE:180
458	-2.13	-5.40	41	SIZE:0.55,ROTATE:180
459	-1.60	-5.40	43	SIZE:0.55,ROTATE:180,TEXT_Y_OFFSET:+0.14,TEXT_X_OFFSET:+0.0
460	-1.06	-5.40	41	SIZE:0.55,ROTATE:180
461	-0.53	-5.40	41	SIZE:0.55,ROTATE:180
462	+0.01	-5.40	41	SIZE:0.55,ROTATE:180
463	+0.54	-5.40	41	SIZE:0.55,ROTATE:180
464	+1.08	-5.40	41	SIZE:0.55,ROTATE:180
465	+1.61	-5.40	43	SIZE:0.55,ROTATE:180,TEXT_Y_OFFSET:+0.16,TEXT_X_OFFSET:-0.02
466	+2.15	-5.40	41	SIZE:0.55,ROTATE:180
467	+2.68	-5.40	42	SIZE:0.55,ROTATE:-180,INVERT:1
468	+3.22	-5.40	11	SIZE:0.55,ROTATE:-120,X_CROP:0.5
-1	-5.755	-2.630
-2	-6.085	-2.058
-3	-6.420	-1.478
-4	-6.755	-0.898
-5	-4.155	-5.401
-6	-4.490	-4.821
-7	-4.825	-4.241
-8	-5.155	-3.669
-9	+5.155	-3.669
-10	+4.825	-4.241
-11	+4.490	-4.821
-12	+4.155	-5.401
-13	+6.755	-0.898
-14	+6.420	-1.478
-15	+6.085	-2.058
-16	+5.755	-2.630

-17	-5.34	+1.55
-18	-4.81	+1.55
-19	-4.27	+1.55
-20	-3.74	+1.55
-21	-3.20	+1.55
-22	-2.67	+1.55
-23	-2.13	+1.55
-24	-1.60	+1.55
-25	-1.06	+1.55
-26	-0.53	+1.55
-27	+0.01	+1.55
-28	+0.54	+1.55
-29	+1.08	+1.55
-30	+1.61	+1.55
-31	+2.15	+1.55
-32	+2.68	+1.55
-33	+3.22	+1.55
-34	+3.75	+1.55
-35	+4.29	+1.55
-36	+4.82	+1.55
-37	+5.36	+1.55
