#
# This is an automatically generated geo file
# Script: create_regular_geofile.py
#
# Draws all available cell shapes
#
# padnumber	xposition	yposition	type	optional


198	+0.41	-4.57	0	SIZE:0.82,ROTATE:0
199	+1.20	-4.57	0	SIZE:0.82,ROTATE:0
200	+1.99	-4.57	0	SIZE:0.82,ROTATE:0
201	+2.78	-4.57	0	SIZE:0.82,ROTATE:0
202	+3.57	-4.57	11	SIZE:0.82,ROTATE:-120

208	+0.02	-5.26	41	SIZE:0.82,ROTATE:180
209	+0.80	-5.26	41	SIZE:0.82,ROTATE:180
210	+1.59	-5.26	43	SIZE:0.82,ROTATE:180,TEXT_Y_OFFSET:+0.17
211	+2.38	-5.26	42	SIZE:0.82,ROTATE:-180,INVERT:1
212	+3.17	-5.26	11	SIZE:0.82,ROTATE:-120,X_CROP:0.5

899     +0.00   -0.20   1       SIZE:12.7,ROTATE:30,WIDTH:0.01,EDGE_SHIFT:0.6
800     +5.50   -3.90   12      SIZE:0.5
801     +5.50   -4.33   12      SIZE:0.5
802     +5.50   -4.76   12      SIZE:0.5
803     +5.50   -5.20   12      SIZE:0.5
804     +6.00   -3.90   12      SIZE:0.5
805     +6.00   -4.33   12      SIZE:0.5
806     +6.00   -4.76   12      SIZE:0.5
807     +6.00   -5.20   12      SIZE:0.5
-1	-1.96	+6.09
-2	-1.17	+6.09
-3	-0.38	+6.09
-4	+0.41	+6.09
-5	+1.20	+6.09
-6	+1.99	+6.09
-7	4.294094709047231	4.7424097914175
-8	4.689094709047231	4.058249722427793
-9	5.08409470904723	3.3740896534380864
-10	5.479094709047231	2.68992958444838
-11	5.87409470904723	2.005769515458674
-12	6.269094709047231	1.3216094464689672
-13	6.754094709047231	-1.3475902085824996
-14	6.3590947090472305	-2.0317502775722063
-15	5.964094709047231	-2.715910346561912
-16	5.569094709047231	-3.4000704155516184
-17	5.174094709047231	-4.084230484541325
-18	4.779094709047231	-4.768390553531032
-19	1.9600000000000004	-6.289999999999999
-20	1.1700000000000002	-6.289999999999998
-21	0.3800000000000008	-6.289999999999999
-22	-0.40999999999999837	-6.29
-23	-1.1999999999999988	-6.289999999999998
-24	-1.9899999999999989	-6.29
-25	-4.79409470904723	-4.742409791417499
-26	-5.18909470904723	-4.058249722427792
-27	-5.58409470904723	-3.374089653438087
-28	-5.97909470904723	-2.6899295844483815
-29	-6.374094709047229	-2.005769515458674
-30	-6.76909470904723	-1.321609446468968
-31	-6.25409470904723	1.3475902085824996
-32	-5.85909470904723	2.031750277572206
-33	-5.464094709047231	2.7159103465619117
-34	-5.069094709047231	3.400070415551618
-35	-4.67409470904723	4.084230484541324
-36	-4.279094709047231	4.768390553531031
